match,bet_on,odds,model_prob,raw_prob,fair_prob,edge,bet_amount,result,p&l,capital_after
AFC Bournemouth vs Everton,away_win,4.75,0.32412984439764275,0.39828424055354417,0.20357894736842103,0.12055089702922173,26.48451202225002,LOSS,-26.48451202225002,1297.7410890902509
Burnley vs Crystal Palace,draw,3.25,0.3478263215884698,0.22750141784283354,0.29753846153846153,0.05028786005000829,18.80795182614426,LOSS,-18.80795182614426,1278.9331372641066
Arsenal vs Brentford,away_win,5.0,0.35379722942319375,0.18813789165171957,0.19340000000000002,0.16039722942319373,25.57866274528213,LOSS,-25.57866274528213,1253.3544745188244
Arsenal vs Brentford,away_win,5.0,0.3527398171077459,0.20387419894804143,0.19340000000000002,0.15933981710774586,25.06708949037649,LOSS,-25.06708949037649,1228.287385028448
Aston Villa vs Arsenal,home_win,4.33,0.32086744328116235,0.42076023261443796,0.22332563510392608,0.09754180817723626,24.56574770056896,LOSS,-24.56574770056896,1203.721637327879
Aston Villa vs Arsenal,draw,3.8,0.34701219354420687,0.2349340614402799,0.2544736842105263,0.09253850933368057,24.074432746557584,LOSS,-24.074432746557584,1179.6472045813216
AFC Bournemouth vs Chelsea,draw,3.8,0.3359960904484946,0.3141419300487469,0.2544736842105263,0.0815224062379683,23.592944091626432,LOSS,-23.592944091626432,1156.0542604896953
AFC Bournemouth vs Chelsea,draw,3.8,0.3521750652070533,0.19254602701082263,0.2544736842105263,0.09770138099652698,23.121085209793904,LOSS,-23.121085209793904,1132.9331752799014
Fulham vs Crystal Palace,away_win,3.7,0.3235350147261334,0.4027078199383195,0.2613513513513513,0.062183663374782094,20.67388568957019,WIN,55.81949136183952,1188.752666641741
Fulham vs Crystal Palace,draw,3.4,0.3469333686515726,0.2333522123979868,0.28441176470588236,0.06252160394569023,22.236293917245813,LOSS,-22.236293917245813,1166.516372724495
Chelsea vs Everton,away_win,6.0,0.35295016730139006,0.19321774565603816,0.16116666666666665,0.1917835006347234,23.330327454489904,LOSS,-23.330327454489904,1143.1860452700053
Chelsea vs Everton,away_win,6.0,0.3514571663377321,0.21366680046386383,0.16116666666666665,0.19029049967106546,22.863720905400104,LOSS,-22.863720905400104,1120.322324364605
Burnley vs Fulham,draw,3.4,0.3397307695939745,0.2880298912846282,0.28441176470588236,0.05531900488809216,18.098412308788212,WIN,43.43618954109171,1163.7585139056966
Burnley vs Fulham,draw,3.4,0.33760011797157163,0.30361945346946434,0.28441176470588236,0.05318835326568927,17.921929737838454,WIN,43.01263137081229,1206.7711452765088
Arsenal vs Wolverhampton Wanderers,away_win,13.0,0.3456387716183167,0.2495864150939736,0.07438461538461538,0.2712541562337013,24.135422905530177,LOSS,-24.135422905530177,1182.6357223709786
Arsenal vs Wolverhampton Wanderers,away_win,13.0,0.34522235458383943,0.2539472832765357,0.07438461538461538,0.27083773919922405,23.652714447419573,LOSS,-23.652714447419573,1158.983007923559
West Ham United vs Aston Villa,draw,3.6,0.3461669612871386,0.23908827073140926,0.26861111111111113,0.07755585017602745,23.17966015847118,LOSS,-23.17966015847118,1135.8033477650877
West Ham United vs Aston Villa,draw,3.6,0.34171384138737054,0.272486362325962,0.26861111111111113,0.07310273027625941,22.716066955301752,LOSS,-22.716066955301752,1113.0872808097859
