match_time,home_team,away_team,result_score,predicted_result,b365_home_odds,b365_draw_odds,b365_away_odds,market_prob_h,market_prob_d,market_prob_a,model_prob_h,model_prob_d,model_prob_a,error_h,error_d,error_a,yield_per_match
2024-02-24 15:00:00,Aston Villa,Nottingham Forest,H,H,1.6,4.2,5.25,0.5635593220338982,0.21468926553672313,0.1717514124293785,0.6006730229949523,0.21985417835109367,0.17947279865395402,0.03711370096105404,0.005164912814370537,0.007721386224575522,0.6000000000000001
2024-02-24 15:00:00,Aston Villa,Nottingham Forest,H,H,1.53,4.5,5.75,0.5914997292907418,0.2011099079588522,0.15739036275040608,0.6299068833302903,0.20576958188789485,0.16432353478181486,0.03840715403954853,0.004659673929042651,0.00693317203140878,0.53
2024-02-24 15:00:00,Aston Villa,Nottingham Forest,H,H,1.95,3.6,3.7,0.4592270005443659,0.24874795862819815,0.242025040827436,0.49088958019445683,0.2554711295619844,0.2536392902435587,0.03166257965009095,0.006723170933786271,0.011614249416122685,0.95
2024-02-26 20:00:00,West Ham United,Brentford,H,H,2.0,3.6,3.6,0.44999999999999996,0.25,0.25,0.4811320754716981,0.25681341719077566,0.2620545073375262,0.031132075471698162,0.006813417190775661,0.012054507337526221,1.0
2024-02-26 20:00:00,West Ham United,Brentford,H,H,2.5,3.5,2.75,0.3621287128712872,0.25866336633663367,0.3292079207920792,0.3879668049792531,0.26625172890733056,0.3457814661134163,0.02583809210796595,0.007588362570696894,0.01657354532133709,1.5
2024-02-26 20:00:00,West Ham United,Brentford,H,H,2.35,3.6,2.88,0.38481012658227837,0.25119549929676505,0.3139943741209563,0.4120056100981767,0.25840112201963533,0.3295932678821879,0.027195483515898344,0.007205622722870286,0.01559889376123158,1.35
2024-03-02 15:00:00,Everton,West Ham United,A,A,2.9,3.25,2.5,0.31123991935483875,0.2777217741935484,0.36103830645161294,0.33393774554246,0.2862899163896444,0.3797723380678957,0.02269782618762123,0.008568142196096029,0.01873403161628273,1.5
2024-03-02 15:00:00,Everton,West Ham United,A,H,2.05,3.6,3.5,0.4408027987479285,0.2510127048425704,0.2581844964095009,0.4713994901608378,0.257908925853247,0.2706915839859152,0.030596691412909327,0.006896221010676606,0.012507087576414277,-1.0
2024-03-02 15:00:00,Everton,West Ham United,A,H,2.05,3.2,3.9,0.4385426299241724,0.2809413722951729,0.23051599778065474,0.4692991996224844,0.28885480761077537,0.2418459927667403,0.030756569698311975,0.007913435315602457,0.011329994986085556,-1.0
2024-03-02 15:00:00,Brentford,Chelsea,D,A,4.75,3.8,1.72,0.18955916473317863,0.23694895591647328,0.523491879350348,0.20372993938267875,0.2446756624939034,0.5515943981234178,0.014170774649500117,0.007726706577430131,0.028102518773069796,-1.0
2024-03-02 15:00:00,Brentford,Chelsea,D,A,3.1,3.75,2.15,0.29065079214495776,0.2402713215064984,0.41907788634854376,0.3117365321668129,0.24759623130007258,0.44066723653311446,0.02108574002185515,0.007324909793574169,0.0215893501845707,-1.0
2024-03-02 15:00:00,Brentford,Chelsea,D,A,3.2,3.6,2.15,0.2812930374904361,0.25003825554705433,0.4186687069625095,0.3018212958573548,0.257764592540486,0.44041411160215926,0.020528258366918684,0.007726336993431671,0.021745404639649746,-1.0
2024-03-02 15:00:00,Nottingham Forest,Liverpool,A,A,11.0,6.0,1.25,0.08166189111747851,0.14971346704871058,0.7186246418338109,0.08780487804878048,0.1546628407460545,0.757532281205165,0.006142986931301969,0.004949373697343912,0.03890763937135411,0.25
2024-03-02 15:00:00,Nottingham Forest,Liverpool,A,A,6.0,4.33,1.53,0.15062031978059057,0.20871175951121096,0.5906679207081984,0.1619166796178004,0.21556628994082924,0.6225170304413704,0.011296359837209835,0.006854530429618283,0.03184910973317201,0.53
2024-03-02 15:00:00,Nottingham Forest,Liverpool,A,A,5.25,4.1,1.62,0.17206315445026174,0.22032477094240838,0.5576120746073298,0.18492938669688935,0.22751355680427926,0.5875570564988314,0.012866232246627612,0.007188785861870883,0.029944981891501632,0.6200000000000001
2024-03-03 13:00:00,Burnley,AFC Bournemouth,A,A,3.75,3.6,1.95,0.23961196443007268,0.24959579628132572,0.46079223928860136,0.25732166825686886,0.2575318983779938,0.4851464333651374,0.01770970382679618,0.007936102096668063,0.02435419407653605,0.95
2024-03-09 15:00:00,Wolverhampton Wanderers,Fulham,H,H,2.3,3.3,3.2,0.39325754606036845,0.27408859270874164,0.2826538612308898,0.42117775866114027,0.2820364432626887,0.2967857980761711,0.02792021260077182,0.007947850553947033,0.014131936845281301,1.2999999999999998
2024-03-09 15:00:00,Wolverhampton Wanderers,Fulham,H,H,2.5,3.4,2.75,0.3592517694641052,0.26415571284125383,0.3265925176946411,0.38495226947062505,0.27195301620617973,0.34309471432319527,0.025700500006519855,0.0077973033649259005,0.016502196628554178,1.5
