match_id,league_id,league_name,season_id,home_team,away_team,status,collection_date
4221915,54,Bundesliga,2324,Mainz 05,Werder Bremen,,2025-12-24T10:12:54.761730
4221916,54,Bundesliga,2324,1. FC Köln,Eintracht Frankfurt,,2025-12-24T10:12:54.761730
4221914,54,Bundesliga,2324,Wolfsburg,Hoffenheim,,2025-12-24T10:12:54.761730
4221912,54,Bundesliga,2324,RB Leipzig,Union Berlin,,2025-12-24T10:12:54.761730
4221896,54,Bundesliga,2324,Mainz 05,Union Berlin,,2025-12-24T10:12:54.761730
4222002,54,Bundesliga,2324,Borussia Dortmund,Freiburg,,2025-12-24T10:12:54.761730
4222009,54,Bundesliga,2324,Augsburg,RB Leipzig,,2025-12-24T10:12:54.761730
4222006,54,Bundesliga,2324,Borussia Mönchengladbach,Darmstadt,,2025-12-24T10:12:54.761730
4222005,54,Bundesliga,2324,Eintracht Frankfurt,Bochum,,2025-12-24T10:12:54.761730
4222003,54,Bundesliga,2324,Union Berlin,Wolfsburg,,2025-12-24T10:12:54.761730
4222008,54,Bundesliga,2324,Werder Bremen,FC Heidenheim,,2025-12-24T10:12:54.761730
4222004,54,Bundesliga,2324,Bayer Leverkusen,Bayern München,,2025-12-24T10:12:54.761730
4222010,54,Bundesliga,2324,VfB Stuttgart,Mainz 05,,2025-12-24T10:12:54.761730
4222007,54,Bundesliga,2324,Hoffenheim,1. FC Köln,,2025-12-24T10:12:54.761730
4222018,54,Bundesliga,2324,1. FC Köln,Werder Bremen,,2025-12-24T10:12:54.761730
4222022,54,Bundesliga,2324,Darmstadt,VfB Stuttgart,,2025-12-24T10:12:54.761730
4222021,54,Bundesliga,2324,FC Heidenheim,Bayer Leverkusen,,2025-12-24T10:12:54.761730
4222019,54,Bundesliga,2324,Hoffenheim,Union Berlin,,2025-12-24T10:12:54.761730
4222017,54,Bundesliga,2324,Mainz 05,Augsburg,,2025-12-24T10:12:54.761730
4222016,54,Bundesliga,2324,Wolfsburg,Borussia Dortmund,,2025-12-24T10:12:54.761730
4222014,54,Bundesliga,2324,RB Leipzig,Borussia Mönchengladbach,,2025-12-24T10:12:54.761730
4222015,54,Bundesliga,2324,Freiburg,Eintracht Frankfurt,,2025-12-24T10:12:54.761730
4222020,54,Bundesliga,2324,Bochum,Bayern München,,2025-12-24T10:12:54.761730
4222026,54,Bundesliga,2324,Bayer Leverkusen,Mainz 05,,2025-12-24T10:12:54.761730
4222025,54,Bundesliga,2324,Union Berlin,FC Heidenheim,,2025-12-24T10:12:54.761730
4222031,54,Bundesliga,2324,VfB Stuttgart,1. FC Köln,,2025-12-24T10:12:54.761730
4222029,54,Bundesliga,2324,Werder Bremen,Darmstadt,,2025-12-24T10:12:54.761730
4222028,54,Bundesliga,2324,Borussia Mönchengladbach,Bochum,,2025-12-24T10:12:54.761730
4222023,54,Bundesliga,2324,Bayern München,RB Leipzig,,2025-12-24T10:12:54.761730
4222027,54,Bundesliga,2324,Eintracht Frankfurt,Wolfsburg,,2025-12-24T10:12:54.761730
4222024,54,Bundesliga,2324,Borussia Dortmund,Hoffenheim,,2025-12-24T10:12:54.761730
4222030,54,Bundesliga,2324,Augsburg,Freiburg,,2025-12-24T10:12:54.761730
4222121,54,Bundesliga,2324,Freiburg,Bayern München,,2025-12-24T10:12:54.761730
4222126,54,Bundesliga,2324,Bochum,RB Leipzig,,2025-12-24T10:12:54.761730
