feature,importance
content_lineup_awayTeam_starters_away_count,0.0
content_lineup_awayTeam_starters_home_count,0.0
content_lineup_awayTeam_starters_total_count,0.0
content_lineup_awayTeam_starters_1_verticalLayout_height,0.0
content_lineup_awayTeam_subs_0_performance_substitutionEvents_away_ratio,0.0
content_lineup_awayTeam_starters_0_horizontalLayout_width,0.0
content_lineup_awayTeam_starters_0_horizontalLayout_y,0.0
content_lineup_awayTeam_starters_0_horizontalLayout_x,0.0
content_lineup_awayTeam_starters_0_verticalLayout_height,0.0
content_lineup_awayTeam_starters_0_verticalLayout_width,0.0
content_lineup_awayTeam_starters_0_verticalLayout_y,0.0
content_lineup_awayTeam_starters_0_verticalLayout_x,0.0
content_lineup_awayTeam_starters_away_ratio,0.0
header_events_awayTeamGoals_Serdar_away_count,0.0
content_lineup_awayTeam_starters_1_horizontalLayout_y,0.0
content_lineup_awayTeam_starters_1_horizontalLayout_x,0.0
content_lineup_awayTeam_coach_isCoach,0.0
header_events_awayTeamGoals_Bradaric_0_shotmapEvent_onGoalShot_zoomRatio,0.0
header_events_awayTeamGoals_Bradaric_0_shotmapEvent_onGoalShot_y,0.0
header_events_awayTeamGoals_Bradaric_0_shotmapEvent_onGoalShot_x,0.0
header_events_awayTeamGoals_Bradaric_0_shotmapEvent_isOnTarget,0.0
header_events_awayTeamGoals_Bradaric_0_shotmapEvent_isOwnGoal,0.0
header_events_homeTeamGoals_Fazzini_away_count,0.0
header_events_homeTeamGoals_Fazzini_home_count,0.0
header_events_homeTeamGoals_Fazzini_total_count,0.0
header_events_awayTeamGoals_Bradaric_0_isPenaltyShootoutEvent,0.0
header_events_awayTeamGoals_Bradaric_0_overloadTimeStr,0.0
header_events_awayTeamGoals_Bradaric_0_shotmapEvent_expectedGoalsOnTarget,0.0
header_events_awayTeamGoals_Bradaric_0_shotmapEvent_isFromInsideBox,0.0
content_lineup_awayTeam_starters_7_verticalLayout_width,0.0
