         3790170 function calls (3683532 primitive calls) in 2.079 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2157    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:169(__enter__)
14058/1037    0.009    0.000    0.012    0.000 _schema_gather.py:90(traverse_schema)
        3    0.000    0.000    0.012    0.004 auto.py:1(<module>)
       21    0.000    0.000    0.012    0.001 main.py:120(create_body_model)
        2    0.000    0.000    0.012    0.006 url.py:1(<module>)
      158    0.004    0.000    0.012    0.000 __init__.py:350(namedtuple)
       21    0.000    0.000    0.012    0.001 v2.py:366(create_body_model)
        1    0.000    0.000    0.012    0.012 ssl_.py:1(<module>)
     2826    0.002    0.000    0.012    0.000 __init__.py:212(__init__)
        1    0.000    0.000    0.012    0.012 registry.py:36(register_entrypoints)
     4314    0.007    0.000    0.012    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.012    0.012 _migration.py:1(<module>)
      200    0.000    0.000    0.012    0.000 dataclasses.py:588(_repr_fn)
        2    0.000    0.000    0.012    0.006 linalg.py:1(<module>)
        1    0.000    0.000    0.012    0.012 builtin_scorers.py:1(<module>)
        3    0.000    0.000    0.012    0.004 decorators.py:1(<module>)
        1    0.000    0.000    0.012    0.012 _tokenizer.py:1(<module>)
      107    0.001    0.000    0.012    0.000 typing_extensions.py:1085(__new__)
        1    0.000    0.000    0.012    0.012 warnings.py:1(<module>)
        2    0.000    0.000    0.011    0.006 schemas.py:1(<module>)
        1    0.000    0.000    0.011    0.011 base_events.py:1(<module>)
       32    0.000    0.000    0.011    0.000 _functools.py:75(wrapper)
      488    0.001    0.000    0.011    0.000 typing.py:1586(__getitem__)
        1    0.000    0.000    0.011    0.011 defmatrix.py:1(<module>)
        1    0.000    0.000    0.011    0.011 engine.py:70(create_async_engine)
        8    0.000    0.000    0.011    0.001 __init__.py:1002(version)
        1    0.000    0.000    0.011    0.011 mapper.py:1(<module>)
        3    0.000    0.000    0.011    0.004 _adapters.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _orm_constructors.py:1(<module>)
        1    0.000    0.000    0.011    0.011 selectable.py:1(<module>)
     3450    0.001    0.000    0.011    0.000 shared.py:77(_annotation_is_sequence)
        1    0.000    0.000    0.011    0.011 asyncpg.py:1085(import_dbapi)
1311/1049    0.001    0.000    0.011    0.000 shared.py:83(field_annotation_is_sequence)
       83    0.000    0.000    0.011    0.000 typing.py:2891(_make_nmtuple)
        1    0.000    0.000    0.011    0.011 http_parser.py:1(<module>)
     2558    0.001    0.000    0.011    0.000 _functools.py:99(wrapper)
      369    0.001    0.000    0.011    0.000 _known_annotated_metadata.py:168(apply_known_metadata)
     1784    0.000    0.000    0.010    0.000 typing.py:2162(<genexpr>)
        1    0.000    0.000    0.010    0.010 _sputils.py:1(<module>)
      196    0.000    0.000    0.010    0.000 dataclasses.py:624(_cmp_fn)
        1    0.000    0.000    0.010    0.010 api_key.py:1(<module>)
        8    0.000    0.000    0.010    0.001 __init__.py:629(version)
  836/257    0.001    0.000    0.010    0.000 _schema_gather.py:69(traverse_definition_ref)
        8    0.000    0.000    0.010    0.001 __init__.py:602(metadata)
     3016    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        7    0.000    0.000    0.010    0.001 _typing.py:1(<module>)
        1    0.000    0.000    0.010    0.010 __init__.py:1063(version)
       37    0.000    0.000    0.010    0.000 _make.py:1435(wrap)
       23    0.000    0.000    0.010    0.000 _fields.py:415(rebuild_model_fields)
        2    0.000    0.000    0.010    0.005 metrics_exporter.py:1(<module>)
      636    0.001    0.000    0.010    0.000 typing.py:1595(copy_with)
        3    0.000    0.000    0.010    0.003 _util.py:1(<module>)
        3    0.000    0.000    0.010    0.003 array.py:1(<module>)
       26    0.000    0.000    0.010    0.000 <string>:1(__new__)
        1    0.000    0.000    0.010    0.010 __init__.py:1037(distribution)
        1    0.000    0.000    0.010    0.010 __init__.py:449(from_name)
